=== GPU Job Started ===
Job ID: 3049
GPU allocated: 1
Python: /nfs_home/users/poonam/.conda/envs/pytorch_gpu/bin/python
job dir: /nfs_home/users/poonam/vedant_project_folder/aed-mae
abnormal_score_func:
- L2
- L2
avenue_gt_path: /nfs_home/users/poonam/divya/anomaly_datasets/fall_detect/Fall_gt
avenue_path: /nfs_home/users/poonam/divya/anomaly_datasets/fall_detect/frames
batch_size: 32
dataset: avenue
device: cuda
epochs: 50
eval_freq: 5
grad_weighted_rec_loss: true
input_3d: true
input_size: !!python/tuple
- 320
- 640
lr: 1.0e-05
mask_ratio: 0.5
masking_method: random_masking
model: mae_cvt
norm_pix_loss: false
num_workers: 4
output_dir: /nfs_home/users/poonam/vedant_project_dataset/aed-mae/results_r1
percent_abnormal: 0.0
pin_mem: false
print_freq: 1
resume: /nfs_home/users/poonam/vedant_project_dataset/aed-mae/results_r1/checkpoint-latest.pth
run_type: train
start_TS_epoch: 100
start_epoch: 0
use_only_masked_tokens_ab: false
weight_decay: 0.05

AbnormalDatasetGradientsTrain
AbnormalDatasetGradientsTest
actual lr: 1.00e-05
AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.95)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0.0

Parameter Group 1
    amsgrad: False
    betas: (0.9, 0.95)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0.05
)
Resume checkpoint /nfs_home/users/poonam/vedant_project_dataset/aed-mae/results_r1/checkpoint-latest.pth
With optim & sched!
Start training for 50 epochs
log_dir: /nfs_home/users/poonam/vedant_project_dataset/aed-mae/results_r1
Epoch: [38]  [  0/692]  eta: 0:55:01  lr: 0.0000 (0.0000)  loss: 0.4414 (0.4414)  time: 4.7715  data: 1.9632  max mem: 4021
Epoch: [38]  [  1/692]  eta: 0:29:24  lr: 0.0000 (0.0000)  loss: 0.4414 (0.4595)  time: 2.5529  data: 0.9841  max mem: 4021
Epoch: [38]  [  2/692]  eta: 0:20:52  lr: 0.0000 (0.0000)  loss: 0.4591 (0.4594)  time: 1.8149  data: 0.6561  max mem: 4021
Epoch: [38]  [  3/692]  eta: 0:16:28  lr: 0.0000 (0.0000)  loss: 0.4591 (0.4624)  time: 1.4346  data: 0.4921  max mem: 4022
Epoch: [38]  [  4/692]  eta: 0:14:03  lr: 0.0000 (0.0000)  loss: 0.4716 (0.4869)  time: 1.2257  data: 0.3941  max mem: 4022
Epoch: [38]  [  5/692]  eta: 0:12:26  lr: 0.0000 (0.0000)  loss: 0.4716 (0.4937)  time: 1.0871  data: 0.3290  max mem: 4022
Epoch: [38]  [  6/692]  eta: 0:11:12  lr: 0.0000 (0.0000)  loss: 0.4775 (0.4993)  time: 0.9804  data: 0.2820  max mem: 4022
Epoch: [38]  [  7/692]  eta: 0:10:18  lr: 0.0000 (0.0000)  loss: 0.4716 (0.4954)  time: 0.9027  data: 0.2471  max mem: 4022
Epoch: [38]  [  8/692]  eta: 0:09:36  lr: 0.0000 (0.0000)  loss: 0.4775 (0.4934)  time: 0.8426  data: 0.2209  max mem: 4022
Epoch: [38]  [  9/692]  eta: 0:09:05  lr: 0.0000 (0.0000)  loss: 0.4775 (0.4930)  time: 0.7989  data: 0.1991  max mem: 4022
Epoch: [38]  [ 10/692]  eta: 0:08:43  lr: 0.0000 (0.0000)  loss: 0.4779 (0.4975)  time: 0.7679  data: 0.1812  max mem: 4022
Epoch: [38]  [ 11/692]  eta: 0:08:25  lr: 0.0000 (0.0000)  loss: 0.4775 (0.4950)  time: 0.7417  data: 0.1666  max mem: 4022
